"STATE","STATEABBREVIATION","COUNTY","STATEFP","COUNTYFP","INDICATOR","YEAR","VALUE"
"Alabama","AL","Autauga County","01","001","dist_MAT","2017","23.5"
"Alabama","AL","Baldwin County","01","003","dist_MAT","2017","19.68"
"Alabama","AL","Barbour County","01","005","dist_MAT","2017","17"
"Alabama","AL","Bibb County","01","007","dist_MAT","2017","19"
"Alabama","AL","Blount County","01","009","dist_MAT","2017","13.62"
"Alabama","AL","Bullock County","01","011","dist_MAT","2017","22.33"
"Alabama","AL","Butler County","01","013","dist_MAT","2017","53.75"
"Alabama","AL","Calhoun County","01","015","dist_MAT","2017","8.5"
"Alabama","AL","Chambers County","01","017","dist_MAT","2017","16"
"Alabama","AL","Cherokee County","01","019","dist_MAT","2017","16.25"
"Alabama","AL","Chilton County","01","021","dist_MAT","2017","13.14"
"Alabama","AL","Choctaw County","01","023","dist_MAT","2017","26.5"
"Alabama","AL","Clarke County","01","025","dist_MAT","2017","49.78"
"Alabama","AL","Clay County","01","027","dist_MAT","2017","22.17"
"Alabama","AL","Cleburne County","01","029","dist_MAT","2017","18.5"
"Alabama","AL","Coffee County","01","031","dist_MAT","2017","21.6"
"Alabama","AL","Colbert County","01","033","dist_MAT","2017","8.4"
"Alabama","AL","Conecuh County","01","035","dist_MAT","2017","30.4"
"Alabama","AL","Coosa County","01","037","dist_MAT","2017","17.8"
"Alabama","AL","Covington County","01","039","dist_MAT","2017","37.9"
"Alabama","AL","Crenshaw County","01","041","dist_MAT","2017","38.83"
"Alabama","AL","Cullman County","01","043","dist_MAT","2017","9.83"
"Alabama","AL","Dale County","01","045","dist_MAT","2017","11.29"
"Alabama","AL","Dallas County","01","047","dist_MAT","2017","48"
"Alabama","AL","DeKalb County","01","049","dist_MAT","2017","22.13"
"Alabama","AL","Elmore County","01","051","dist_MAT","2017","9.33"
"Alabama","AL","Escambia County","01","053","dist_MAT","2017","15.25"
"Alabama","AL","Etowah County","01","055","dist_MAT","2017","8.82"
"Alabama","AL","Fayette County","01","057","dist_MAT","2017","27.83"
"Alabama","AL","Franklin County","01","059","dist_MAT","2017","18.29"
"Alabama","AL","Geneva County","01","061","dist_MAT","2017","8.38"
"Alabama","AL","Greene County","01","063","dist_MAT","2017","29"
"Alabama","AL","Hale County","01","065","dist_MAT","2017","25.6"
"Alabama","AL","Henry County","01","067","dist_MAT","2017","7.6"
"Alabama","AL","Houston County","01","069","dist_MAT","2017","9.73"
"Alabama","AL","Jackson County","01","071","dist_MAT","2017","15.35"
"Alabama","AL","Jefferson County","01","073","dist_MAT","2017","5.42"
"Alabama","AL","Lamar County","01","075","dist_MAT","2017","21.17"
"Alabama","AL","Lauderdale County","01","077","dist_MAT","2017","12.88"
"Alabama","AL","Lawrence County","01","079","dist_MAT","2017","23.67"
"Alabama","AL","Lee County","01","081","dist_MAT","2017","8.45"
"Alabama","AL","Limestone County","01","083","dist_MAT","2017","14.1"
"Alabama","AL","Lowndes County","01","085","dist_MAT","2017","33.8"
"Alabama","AL","Macon County","01","087","dist_MAT","2017","20.83"
"Alabama","AL","Madison County","01","089","dist_MAT","2017","5.68"
"Alabama","AL","Marengo County","01","091","dist_MAT","2017","45.89"
"Alabama","AL","Marion County","01","093","dist_MAT","2017","11.83"
"Alabama","AL","Marshall County","01","095","dist_MAT","2017","20.78"
"Alabama","AL","Mobile County","01","097","dist_MAT","2017","8.95"
"Alabama","AL","Monroe County","01","099","dist_MAT","2017","45.09"
"Alabama","AL","Montgomery County","01","101","dist_MAT","2017","10.79"
"Alabama","AL","Morgan County","01","103","dist_MAT","2017","16.56"
"Alabama","AL","Perry County","01","105","dist_MAT","2017","39.5"
"Alabama","AL","Pickens County","01","107","dist_MAT","2017","22"
"Alabama","AL","Pike County","01","109","dist_MAT","2017","37.14"
